단어,어간근사,총건수,문서수,통상수용_건수,통상수용_비율,통상수용_lift,견적반영_건수,견적반영_비율,견적반영_lift,계약·질의검토_건수,계약·질의검토_비율,계약·질의검토_lift,최대lift_라벨,최대lift,chi2_p,모델기여_통상수용,모델기여_견적반영,모델기여_계약·질의검토,모델기여_합
관리,관리,332,10,168,0.506,0.989,102,0.3072,1.32,62,0.1867,0.731,견적반영,1.32,1.7e-05,7.2228,0.3089,0.0,7.5317
AI,AI,233,10,70,0.3004,0.587,90,0.3863,1.66,73,0.3133,1.227,견적반영,1.66,0.0,0.0,5.5892,0.6728,6.262
데이터,데이터,301,10,123,0.4086,0.798,108,0.3588,1.542,70,0.2326,0.911,견적반영,1.542,0.0,1.2625,4.2888,0.0,5.5513
개발,개발,179,10,102,0.5698,1.113,34,0.1899,0.816,43,0.2402,0.941,통상수용,1.113,0.182804,4.8773,0.0,0.0,4.8773
성능,성능,127,10,27,0.2126,0.415,44,0.3465,1.489,56,0.4409,1.726,계약·질의검토,1.726,0.0,0.0,0.3531,2.9434,3.2965
자동,자동,125,9,20,0.16,0.313,65,0.52,2.235,40,0.32,1.253,견적반영,2.235,0.0,0.0,3.1973,0.0831,3.2804
기능,기능,295,10,127,0.4305,0.841,102,0.3458,1.486,66,0.2237,0.876,견적반영,1.486,0.0,1.8348,1.3583,0.0,3.1931
정의,정의,93,10,46,0.4946,0.966,27,0.2903,1.248,20,0.2151,0.842,견적반영,1.248,0.333507,2.6061,0.0,0.0,2.6061
동시,동시,31,9,2,0.0645,0.126,8,0.2581,1.109,21,0.6774,2.652,계약·질의검토,2.652,0.0,0.0,0.0,2.0364,2.0364
표준화,표준화,31,9,23,0.7419,1.449,6,0.1935,0.832,2,0.0645,0.253,통상수용,1.449,0.017394,2.0173,0.0,0.0,2.0173
수립,수립,107,10,60,0.5607,1.095,28,0.2617,1.125,19,0.1776,0.695,견적반영,1.125,0.144269,1.9375,0.0263,0.0,1.9638
처리,처리,121,10,34,0.281,0.549,47,0.3884,1.669,40,0.3306,1.294,견적반영,1.669,0.0,0.0,1.844,0.0,1.844
이상,이상,114,9,26,0.2281,0.446,35,0.307,1.319,53,0.4649,1.82,계약·질의검토,1.82,0.0,0.0,0.0218,1.7688,1.7906
산출물,산출물,60,10,39,0.65,1.27,7,0.1167,0.501,14,0.2333,0.914,통상수용,1.27,0.044496,1.743,0.0,0.0,1.743
기반,기반,162,10,32,0.1975,0.386,74,0.4568,1.963,56,0.3457,1.353,견적반영,1.963,0.0,0.0,1.4383,0.173,1.6113
데이터를,데이터,76,10,22,0.2895,0.565,33,0.4342,1.866,21,0.2763,1.082,견적반영,1.866,1.2e-05,0.0676,1.5024,0.0,1.57
자원,자원,54,9,10,0.1852,0.362,32,0.5926,2.547,12,0.2222,0.87,견적반영,2.547,0.0,0.0147,1.5245,0.0,1.5392
제시하여야,제시하여야,87,9,47,0.5402,1.055,15,0.1724,0.741,25,0.2874,1.125,계약·질의검토,1.125,0.361747,1.2732,0.0,0.0,1.2732
테스트,테스트,79,9,24,0.3038,0.593,23,0.2911,1.251,32,0.4051,1.586,계약·질의검토,1.586,0.000311,0.0,0.0,1.2432,1.2432
모니터링,모니터링,86,9,25,0.2907,0.568,38,0.4419,1.899,23,0.2674,1.047,견적반영,1.899,1e-06,0.037,1.2033,0.0,1.2403
있는,있는,231,10,87,0.3766,0.736,84,0.3636,1.563,60,0.2597,1.017,견적반영,1.563,0.0,0.0,1.2035,0.0,1.2035
수집,수집,50,10,11,0.22,0.43,29,0.58,2.493,10,0.2,0.783,견적반영,2.493,0.0,0.0,1.1973,0.0041,1.2014
준수,준수,76,10,49,0.6447,1.259,7,0.0921,0.396,20,0.2632,1.03,통상수용,1.259,0.007058,1.0544,0.0,0.054,1.1084
자료의,자료,21,5,19,0.9048,1.767,1,0.0476,0.205,1,0.0476,0.186,통상수용,1.767,0.001311,1.1053,0.0,0.0,1.1053
협의하여,협의하여,99,10,39,0.3939,0.77,11,0.1111,0.478,49,0.4949,1.938,계약·질의검토,1.938,0.0,0.0,0.0,1.0958,1.0958
구축,구축,206,10,70,0.3398,0.664,71,0.3447,1.481,65,0.3155,1.235,견적반영,1.481,0.0,0.0,0.8755,0.186,1.0615
서비스,서비스,149,10,49,0.3289,0.642,46,0.3087,1.327,54,0.3624,1.419,계약·질의검토,1.419,6e-06,0.0,0.7923,0.1869,0.9792
인터페이스,인터페이스,78,9,31,0.3974,0.776,14,0.1795,0.771,33,0.4231,1.656,계약·질의검토,1.656,0.001842,0.5943,0.0,0.3489,0.9432
데이터의,데이터,65,9,26,0.4,0.781,19,0.2923,1.256,20,0.3077,1.205,견적반영,1.256,0.171454,0.168,0.752,0.0,0.92
데이터는,데이터,42,9,9,0.2143,0.419,22,0.5238,2.251,11,0.2619,1.025,견적반영,2.251,7e-06,0.0544,0.8528,0.0,0.9072
방안,방안,124,10,62,0.5,0.977,36,0.2903,1.248,26,0.2097,0.821,견적반영,1.248,0.196189,0.8211,0.0852,0.0,0.9063
제공,제공,280,10,116,0.4143,0.809,88,0.3143,1.351,76,0.2714,1.063,견적반영,1.351,6.2e-05,0.6628,0.2298,0.0,0.8926
모델,모델,129,10,35,0.2713,0.53,57,0.4419,1.899,37,0.2868,1.123,견적반영,1.899,0.0,0.0,0.7864,0.0783,0.8647
GPU,GPU,45,7,3,0.0667,0.13,21,0.4667,2.006,21,0.4667,1.827,견적반영,2.006,0.0,0.0,0.8453,0.0,0.8453
등록,등록,79,9,47,0.5949,1.162,20,0.2532,1.088,12,0.1519,0.595,통상수용,1.162,0.084451,0.8123,0.0,0.0,0.8123
기능을,기능,113,9,36,0.3186,0.622,42,0.3717,1.597,35,0.3097,1.213,견적반영,1.597,2.1e-05,0.384,0.4213,0.0,0.8053
문서,문서,93,9,25,0.2688,0.525,41,0.4409,1.895,27,0.2903,1.137,견적반영,1.895,0.0,0.0,0.7888,0.0,0.7888
데이터셋,데이터셋,31,6,6,0.1935,0.378,18,0.5806,2.495,7,0.2258,0.884,견적반영,2.495,9e-06,0.0197,0.7503,0.0,0.77
구성,구성,124,10,39,0.3145,0.614,46,0.371,1.594,39,0.3145,1.231,견적반영,1.594,4e-06,0.0,0.7513,0.0,0.7513
인프라,인프라,45,10,5,0.1111,0.217,20,0.4444,1.91,20,0.4444,1.74,견적반영,1.91,0.0,0.0,0.7427,0.0,0.7427
표준,표준,92,10,42,0.4565,0.892,25,0.2717,1.168,25,0.2717,1.064,견적반영,1.168,0.499416,0.7082,0.0,0.0,0.7082
UI/UX,UI/UX,14,6,11,0.7857,1.535,1,0.0714,0.307,2,0.1429,0.559,통상수용,1.535,0.112161,0.707,0.0,0.0,0.707
제안사는,제안사,40,8,14,0.35,0.684,5,0.125,0.537,21,0.525,2.056,계약·질의검토,2.056,0.000316,0.0,0.0,0.7035,0.7035
품질관리,품질관리,34,10,26,0.7647,1.494,3,0.0882,0.379,5,0.1471,0.576,통상수용,1.494,0.010078,0.6879,0.0,0.0,0.6879
전처리,전처리,26,9,7,0.2692,0.526,14,0.5385,2.314,5,0.1923,0.753,견적반영,2.314,0.000807,0.0,0.64,0.0,0.64
프로그램,프로그램,42,9,26,0.619,1.209,8,0.1905,0.819,8,0.1905,0.746,통상수용,1.209,0.3588,0.6346,0.0,0.0,0.6346
학습,학습,63,10,10,0.1587,0.31,28,0.4444,1.91,25,0.3968,1.554,견적반영,1.91,0.0,0.0,0.585,0.0445,0.6295
시스템은,시스템,55,8,30,0.5455,1.066,15,0.2727,1.172,10,0.1818,0.712,견적반영,1.172,0.41237,0.5546,0.0306,0.0395,0.6247
기술적용계획표,기술적용계획표,5,5,5,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.091019,0.6236,0.0,0.0,0.6236
기술적용계획표의,기술적용계획표,5,5,5,1.0,1.953,0,0.0,0.0,0,0.0,0.0,통상수용,1.953,0.091019,0.6236,0.0,0.0,0.6236
준수하여야,준수하여야,32,9,22,0.6875,1.343,2,0.0625,0.269,8,0.25,0.979,통상수용,1.343,0.046738,0.6124,0.0,0.0,0.6124
